feature_type,n_train,n_val,n_test,seed,pos_metric,neg_metric,overall_metric,best_epoch
flag,500,500,1000,2,0.32060043557601814,0.45057284475341136,0.4483633143301122,3
flag,500,500,1000,3,0.34629372833296657,0.4452989879275926,0.44213081962917933,3
flag,500,500,1000,4,0.3197458569299091,0.4532086522868836,0.4502724712369964,2
flag,1000,500,1000,0,0.27832361017212726,0.48458878728614074,0.47778203650470824,3
flag,1000,500,1000,1,0.37511824124625753,0.5035738319075433,0.5017754553556443,4
flag,1000,500,1000,2,0.41816561267926144,0.5023590778359222,0.5001700475248508,2
flag,1000,500,1000,3,0.3594346700176116,0.49640543181201685,0.49215933737682643,3
flag,1000,500,1000,4,0.3475552022989307,0.5066650923170962,0.5022100156815723,2
flag,2000,500,1000,0,0.46053671340147656,0.5504469721207639,0.548019397655502,4
flag,2000,500,1000,1,0.43475888090001213,0.5536829968081655,0.5504720461834222,2
flag,2000,500,1000,2,0.4059254071778721,0.5515360296172774,0.5489150366587564,3
flag,2000,500,1000,3,0.3502745181322098,0.5586733557830875,0.554296979314182,2
flag,2000,500,1000,4,0.4051806607416698,0.5335073007233326,0.5299141548560001,5
flag,5000,500,1000,0,0.6322798179952722,0.5994607663194096,0.6000843305960297,7
flag,5000,500,1000,1,0.5564972013235092,0.5942538761700172,0.593272201642394,8
flag,5000,500,1000,2,0.6123452277647125,0.5946420543844188,0.594960713179782,15
flag,5000,500,1000,3,0.6521142746011416,0.5844088128739103,0.5864399764314294,11
flag,5000,500,1000,4,0.4991886868245072,0.582449477691497,0.5794520893469453,11
flag,7000,500,1000,0,0.5469542008179885,0.5937440092589331,0.5925274748131633,12
flag,7000,500,1000,1,0.6420256197452545,0.5933687664184099,0.5943905593138188,12
flag,7000,500,1000,2,0.620652744715864,0.5964113535810462,0.5969446639996895,13
flag,7000,500,1000,3,0.5238483045250177,0.6009439608891118,0.5990936644546455,12
flag,7000,500,1000,4,0.6120298864400905,0.5967703622478912,0.597121330179274,12
ecfp+rdkit2d,500,500,1000,0,0.44216171945586347,0.5451232128147703,0.5417254807334393,3
ecfp+rdkit2d,500,500,1000,1,0.4941667890548706,0.544598154961251,0.5433373695171904,3
ecfp+rdkit2d,500,500,1000,2,0.4331742746426779,0.5553448138870337,0.5532679145932198,3
ecfp+rdkit2d,500,500,1000,3,0.406130398157984,0.5393149912225521,0.5350530844884924,3
ecfp+rdkit2d,500,500,1000,4,0.44986734607002954,0.5483932510544003,0.5462256807237863,3
ecfp+rdkit2d,1000,500,1000,0,0.39972890134562145,0.5903914893944598,0.5840996244209818,3
ecfp+rdkit2d,1000,500,1000,1,0.5831793174147606,0.6238427572349052,0.623273469466716,76
ecfp+rdkit2d,1000,500,1000,2,0.5307295649097516,0.5868604840228843,0.5854010803680867,2
ecfp+rdkit2d,1000,500,1000,3,0.5462193181437831,0.6186978913746559,0.6164510550792329,80
ecfp+rdkit2d,1000,500,1000,4,0.5236683945570674,0.6175496495068227,0.614920973630622,42
ecfp+rdkit2d,2000,500,1000,0,0.6207191436379044,0.6321901074722639,0.6318803941830993,47
ecfp+rdkit2d,2000,500,1000,1,0.5109458234575059,0.6287804977994179,0.6255989598040469,2
ecfp+rdkit2d,2000,500,1000,2,0.533859156899982,0.6154647168661648,0.6139958170270547,2
ecfp+rdkit2d,2000,500,1000,3,0.47950985140743707,0.6454670405960942,0.6419819409493357,48
ecfp+rdkit2d,2000,500,1000,4,0.5468437370977232,0.6221812881527894,0.620071836482035,44
ecfp+rdkit2d,5000,500,1000,0,0.6877547047640148,0.6761843718125065,0.6764042097702623,16
ecfp+rdkit2d,5000,500,1000,1,0.6383939030078741,0.6708082628667783,0.6699654899090528,3
ecfp+rdkit2d,5000,500,1000,2,0.6795513464344872,0.6717415667554391,0.6718821420557797,24
ecfp+rdkit2d,5000,500,1000,3,0.7159046153227488,0.6650851103025921,0.6666096940375864,3
ecfp+rdkit2d,5000,500,1000,4,0.6292727312280072,0.6695723171284059,0.6681215336192399,3
ecfp+rdkit2d,7000,500,1000,0,0.6310225025965617,0.6769991826028917,0.6758037878386677,3
ecfp+rdkit2d,7000,500,1000,1,0.7290552400407337,0.6744385147248456,0.6755854640714825,3
ecfp+rdkit2d,7000,500,1000,2,0.7063916975801642,0.6834211082965257,0.6839264618121088,4
ecfp+rdkit2d,7000,500,1000,3,0.6320081545660893,0.6886941599831382,0.6873336962554604,3
ecfp+rdkit2d,7000,500,1000,4,0.6524873790533646,0.6876971264097633,0.6868873022131157,3
ecfp+rdkit3d,500,500,1000,0,0.37933370651620807,0.5465850555053849,0.5410657590171323,3
ecfp+rdkit3d,500,500,1000,1,0.5047647133469582,0.557240394138946,0.5559285000665113,3
ecfp+rdkit3d,500,500,1000,2,0.3969482249196838,0.545886766457303,0.5433548123650253,3
ecfp+rdkit3d,500,500,1000,3,0.39809556514956057,0.5386946972417221,0.5341955219404771,4
ecfp+rdkit3d,500,500,1000,4,0.5367177602919665,0.5789868367115961,0.578056918028742,65
ecfp+rdkit3d,1000,500,1000,0,0.4077989070704489,0.5848606353762416,0.5790175983346999,3
ecfp+rdkit3d,1000,500,1000,1,0.5707958361932209,0.6207253604746682,0.6200263485168107,55
ecfp+rdkit3d,1000,500,1000,2,0.5148038567545322,0.5813317717410609,0.5796020457111299,3
ecfp+rdkit3d,1000,500,1000,3,0.5275580137968063,0.6097818503018865,0.6072329124477692,54
ecfp+rdkit3d,1000,500,1000,4,0.5007298695189613,0.6140905867096941,0.6109164863228798,80
ecfp+rdkit3d,2000,500,1000,0,0.6084295919647923,0.6271412467367694,0.6266360305845737,48
ecfp+rdkit3d,2000,500,1000,1,0.5050920380486382,0.6285800815649418,0.6252459036224755,2
ecfp+rdkit3d,2000,500,1000,2,0.525872534347905,0.6071796194686272,0.6057160909865051,2
ecfp+rdkit3d,2000,500,1000,3,0.44675526519616443,0.6437212787720777,0.639584991240874,34
ecfp+rdkit3d,2000,500,1000,4,0.5348504103188004,0.6188740265745394,0.6165213644774631,16
ecfp+rdkit3d,5000,500,1000,0,0.7078881671554164,0.6753523233560247,0.6759705048725009,13
ecfp+rdkit3d,5000,500,1000,1,0.6485695254344207,0.6734677839878893,0.6728204275593161,4
ecfp+rdkit3d,5000,500,1000,2,0.6666962868637509,0.668278970450254,0.6682504818998277,20
ecfp+rdkit3d,5000,500,1000,3,0.7142923265695572,0.6644437960658665,0.6659392509714235,13
ecfp+rdkit3d,5000,500,1000,4,0.6282987698084779,0.6677304928295346,0.6663109518624842,20
ecfp+rdkit3d,7000,500,1000,0,0.6274566893967298,0.6687986607026515,0.6677237687408925,6
ecfp+rdkit3d,7000,500,1000,1,0.7178822145575569,0.6756993497810322,0.6765851881382987,5
ecfp+rdkit3d,7000,500,1000,2,0.6993270245465365,0.6806960005755013,0.6811058859229088,6
ecfp+rdkit3d,7000,500,1000,3,0.6181135599811872,0.6873622516696876,0.6857002828791737,8
ecfp+rdkit3d,7000,500,1000,4,0.6569446765858195,0.687251916436427,0.6865548467868939,5
ecfp+bert,500,500,1000,0,0.3995963994300727,0.5254031599219021,0.521251536058262,3
ecfp+bert,500,500,1000,1,0.4810832864046097,0.532922068891617,0.5316260990463197,3
ecfp+bert,500,500,1000,2,0.38185838631847324,0.5343253694736187,0.5317334319129586,3
ecfp+bert,500,500,1000,3,0.40836001094430685,0.5176229571691745,0.5141265429197811,3
ecfp+bert,500,500,1000,4,0.5046624371951277,0.5370724901513164,0.5363594683678821,3
