number,value,datetime_start,datetime_complete,duration,params_cb_beta,params_dropout_rate,params_epochs,params_flag_boost,params_lr,params_patience,params_weight_decay,state
50,0.29909186761814743,2025-12-01 15:40:19.676078,2025-12-01 15:40:50.555411,0 days 00:00:30.879333,0.9930296668075359,0.24793763767859503,63,2.003068767626533,6.486129040903122e-05,6,0.00014936430062836053,COMPLETE
51,0.28442850078468596,2025-12-01 15:40:50.617586,2025-12-01 15:41:46.655745,0 days 00:00:56.038159,0.9988843363729648,0.18623293613719516,103,2.090806917150174,0.0002301751815180518,18,0.00023239013102987195,COMPLETE
52,0.2864831574068965,2025-12-01 15:41:46.719007,2025-12-01 15:42:45.238902,0 days 00:00:58.519895,0.9988055600958317,0.17405507069576504,112,2.129696661050081,0.00021471584544691076,18,0.00022858890807187285,COMPLETE
53,0.30206082652104776,2025-12-01 15:42:45.305189,2025-12-01 15:43:37.041399,0 days 00:00:51.736210,0.9994626277938535,0.12222230263543377,117,2.2797932987764677,0.00035017169202902396,17,0.0005104635171304036,COMPLETE
54,0.28431245244816483,2025-12-01 15:43:37.104902,2025-12-01 15:44:30.319453,0 days 00:00:53.214551,0.9980660271862896,0.1623503320791565,99,2.013070234895957,0.0001658566627981704,19,0.00031229740892168775,COMPLETE
55,0.2848489304199061,2025-12-01 15:44:30.380717,2025-12-01 15:45:22.762024,0 days 00:00:52.381307,0.9962200863507269,0.16454621860758326,97,1.8391101649797712,0.0001580957980372729,29,0.0003251113277233257,COMPLETE
56,0.28678859178249805,2025-12-01 15:45:22.824099,2025-12-01 15:46:13.074403,0 days 00:00:50.250304,0.9973977974584748,0.06628868217189525,92,1.9969652139049092,0.00017441871396795566,21,0.0001226860802232435,COMPLETE
57,0.2847690444489628,2025-12-01 15:46:13.136729,2025-12-01 15:46:58.963109,0 days 00:00:45.826380,0.9978622904493752,0.2086031575958462,84,1.6914543088572143,0.00011051613435325347,11,0.0008097680573793938,COMPLETE
58,0.289050674536895,2025-12-01 15:46:59.039831,2025-12-01 15:48:02.942649,0 days 00:01:03.902818,0.9948480330768901,0.32657910917739186,120,2.429170859735873,0.0002666662578883273,19,5.4366358268104e-06,COMPLETE
59,0.28490678813804415,2025-12-01 15:48:03.003649,2025-12-01 15:49:01.074723,0 days 00:00:58.071074,0.9907638903623119,0.38605581220949314,107,1.775775304697331,0.00013750022032449116,23,0.0001628368563619904,COMPLETE
60,0.30202298120079396,2025-12-01 15:49:01.137278,2025-12-01 15:49:25.718948,0 days 00:00:24.581670,0.9984093642073592,0.10694359803336759,112,2.2352370989182195,0.0004465803943485483,15,0.00028804443585452857,COMPLETE
61,0.2874085927772325,2025-12-01 15:49:25.779816,2025-12-01 15:50:20.863913,0 days 00:00:55.084097,0.9994366524632385,0.19465777233206155,101,2.1449607917658646,0.0001611440867939921,19,0.00021089323356462793,COMPLETE
62,0.28978525571163716,2025-12-01 15:50:20.926047,2025-12-01 15:51:18.088852,0 days 00:00:57.162805,0.9988722052024658,0.23090647295114333,104,2.078317114117816,0.0002426115579193918,17,0.0005257396203840283,COMPLETE
63,0.28436740190252063,2025-12-01 15:51:18.153545,2025-12-01 15:52:21.393060,0 days 00:01:03.239515,0.9981651771205879,0.13462045646129414,117,1.9604468793555534,0.00019616674729378139,18,0.0004085657775855803,COMPLETE
64,0.2868682688603829,2025-12-01 15:52:21.455138,2025-12-01 15:53:25.377918,0 days 00:01:03.922780,0.9980950661730351,0.1352679504227999,118,1.971896803057312,0.0001912591402112184,29,0.00038765411334305497,COMPLETE
65,0.2852322668975106,2025-12-01 15:53:25.437288,2025-12-01 15:54:25.137579,0 days 00:00:59.700291,0.9974828716895588,0.1502202326361982,110,1.9055057625838012,0.00011588634353679316,16,0.0007399243812349729,COMPLETE
66,0.29671827509184245,2025-12-01 15:54:25.201253,2025-12-01 15:55:02.382151,0 days 00:00:37.180898,0.9941898967911426,0.16355012053298532,120,1.865111061109391,0.00036001427532772733,14,0.00036919611436766407,COMPLETE
67,0.2849627372773193,2025-12-01 15:55:02.442495,2025-12-01 15:55:55.690797,0 days 00:00:53.248302,0.9971192661519174,0.11488293530978003,115,1.7566900214496195,0.0002988318706008726,22,9.52120360108462e-05,COMPLETE
68,0.28404155062940223,2025-12-01 15:55:55.751597,2025-12-01 15:56:54.141716,0 days 00:00:58.390119,0.9985391382505381,0.2500206483288968,108,2.022702625511477,0.00014955118246677055,26,0.00027977413862929185,COMPLETE
69,0.2880766069433883,2025-12-01 15:56:54.211028,2025-12-01 15:57:52.623949,0 days 00:00:58.412921,0.9927745059740314,0.25569372735162144,107,2.1811872383810034,8.724633386641737e-05,26,0.00012765339126261357,COMPLETE
70,0.29140436833857014,2025-12-01 15:57:52.691408,2025-12-01 15:58:46.811149,0 days 00:00:54.119741,0.9966820320214405,0.2841317570710217,99,1.6568133061829475,0.00014536049550997038,30,1.4244341414372743e-06,COMPLETE
71,0.28304591611935015,2025-12-01 15:58:46.875239,2025-12-01 15:59:47.615182,0 days 00:01:00.739943,0.9985707428274815,0.2134535926809299,112,2.0206890908417785,0.00017644991337645207,27,0.0002724085207214532,COMPLETE
72,0.31213862977160756,2025-12-01 15:59:47.683480,2025-12-01 16:00:49.128368,0 days 00:01:01.444888,0.9986073606328522,0.2236818502066559,113,2.019482517868652,2.1222496991751346e-05,25,0.00019060640365024705,COMPLETE
73,0.2834614570664917,2025-12-01 16:00:49.193736,2025-12-01 16:01:27.441904,0 days 00:00:38.248168,0.9934649036457646,0.2464373712364941,68,2.0327094319994545,0.00017450053849463708,27,0.0002833384293794095,COMPLETE
74,0.28294277904695525,2025-12-01 16:01:27.505309,2025-12-01 16:02:06.133821,0 days 00:00:38.628512,0.9935022502683758,0.24572582809944585,68,2.020279877931023,0.0001693462173766355,28,0.0002731250877842422,COMPLETE
75,0.287038946545407,2025-12-01 16:02:06.195767,2025-12-01 16:02:49.753120,0 days 00:00:43.557353,0.9948377295763096,0.24556070854306516,78,2.314001427059975,0.00012406045099930358,27,0.00025740791627895676,COMPLETE
76,0.28487323312198415,2025-12-01 16:02:49.816374,2025-12-01 16:03:27.743505,0 days 00:00:37.927131,0.9941930734675268,0.20913801216859235,68,2.1989947251655035,0.0002565122800644382,28,0.00016727823164229617,COMPLETE
77,0.2889978760167172,2025-12-01 16:03:27.806629,2025-12-01 16:04:00.848676,0 days 00:00:33.042047,0.9934075194640265,0.3080314143620101,59,2.04466665912738,0.00020305933055891816,29,6.252349293954839e-05,COMPLETE
78,0.2885188023003262,2025-12-01 16:04:00.960437,2025-12-01 16:04:33.565634,0 days 00:00:32.605197,0.9951930551816222,0.2643212882860772,58,2.1243840879143256,0.00010714400276592978,26,0.0006179075115036236,COMPLETE
79,0.28517517561267897,2025-12-01 16:04:33.654721,2025-12-01 16:05:13.951259,0 days 00:00:40.296538,0.9937682167659816,0.2781503855323434,73,1.877773003306119,0.0002981245990330061,27,0.0002724757726001427,COMPLETE
80,0.2832564446456169,2025-12-01 16:05:14.044675,2025-12-01 16:05:50.847315,0 days 00:00:36.802640,0.9945639843807916,0.3625385895369632,66,1.8005481413203868,0.0001787825116618646,25,0.00014277033581159776,COMPLETE
81,0.2817972870187986,2025-12-01 16:05:50.910328,2025-12-01 16:06:29.845987,0 days 00:00:38.935659,0.995535334795774,0.46127598629127486,69,1.8070707721369017,0.0002178280903528752,25,0.00013597342591154928,COMPLETE
82,0.2865200478226039,2025-12-01 16:06:29.911844,2025-12-01 16:07:08.168016,0 days 00:00:38.256172,0.9956182015327557,0.4439993674431748,68,1.7769719612300452,0.00014936981733295004,25,0.00014380502254423798,COMPLETE
83,0.28380447669171943,2025-12-01 16:07:08.246486,2025-12-01 16:07:50.933400,0 days 00:00:42.686914,0.9945097514182765,0.36176701596430316,76,1.94441239497192,0.0001766703409304678,24,9.070898568552898e-05,COMPLETE
84,0.2848690080199817,2025-12-01 16:07:50.999106,2025-12-01 16:08:33.768911,0 days 00:00:42.769805,0.9932978731116305,0.48598850701516044,76,1.9249622221782663,0.0001790218320465288,23,8.392059095167705e-05,COMPLETE
85,0.28447920963614104,2025-12-01 16:08:33.835599,2025-12-01 16:09:10.548239,0 days 00:00:36.712640,0.9944157768539155,0.3659796977300291,65,1.635411283548641,0.00018962366630604987,24,0.00011060670295234617,COMPLETE
86,0.29143636243877274,2025-12-01 16:09:10.610579,2025-12-01 16:09:41.445456,0 days 00:00:30.834877,0.9939653344779757,0.417777988503371,53,1.8076119943786069,0.00012777807866241284,28,6.316689499532934e-05,COMPLETE
87,0.28173096457994146,2025-12-01 16:09:41.509335,2025-12-01 16:10:21.223751,0 days 00:00:39.714416,0.9946314793687685,0.46662975484240454,71,1.5389860935523514,0.0002442638853289787,27,0.0001992751455776033,COMPLETE
88,0.29294167460548864,2025-12-01 16:10:21.284648,2025-12-01 16:10:34.863364,0 days 00:00:13.578716,0.9951150934974824,0.4593150068991282,20,1.5315820604809387,0.00022514548978737347,27,0.00018295495854803596,COMPLETE
89,0.29517735563933667,2025-12-01 16:10:34.939311,2025-12-01 16:10:58.686840,0 days 00:00:23.747529,0.994720610684388,0.48107086042909364,40,1.7159708187472684,9.524824065419684e-05,29,0.0001441451219482807,COMPLETE
90,0.29103898608401585,2025-12-01 16:10:58.750774,2025-12-01 16:11:38.738537,0 days 00:00:39.987763,0.9955271403410074,0.4620401270051273,72,1.4010375800625996,0.0002513322385600425,28,1.1046156308277925e-06,COMPLETE
91,0.28805049088225154,2025-12-01 16:11:38.803166,2025-12-01 16:12:13.204998,0 days 00:00:34.401832,0.9945543974955359,0.3989958867126582,60,1.94143612008315,0.00017229063101797558,25,4.7498703673332776e-05,COMPLETE
92,0.2871332827982396,2025-12-01 16:12:13.268930,2025-12-01 16:12:50.257207,0 days 00:00:36.988277,0.9950246900666758,0.38224099962494595,65,1.5705380152328585,0.00021914237786953953,24,9.167689023665796e-05,COMPLETE
93,0.2854559997286959,2025-12-01 16:12:50.321154,2025-12-01 16:13:29.912942,0 days 00:00:39.591788,0.9941494060102354,0.3519988061658459,70,1.8742722365095055,0.0002869306640677576,26,0.00020286406646123604,COMPLETE
94,0.28722202987001655,2025-12-01 16:13:29.977429,2025-12-01 16:14:15.768494,0 days 00:00:45.791065,0.9936961437802219,0.418865036169764,82,1.4735040195914368,0.00037706634787476264,24,0.00011205420452703763,COMPLETE
95,0.2866553150586422,2025-12-01 16:14:15.847304,2025-12-01 16:14:47.702472,0 days 00:00:31.855168,0.9904510186333811,0.3347761787349043,55,1.270355229582829,0.0002093251846415038,23,7.026210785371385e-05,COMPLETE
96,0.28375207430561017,2025-12-01 16:14:47.780620,2025-12-01 16:15:30.038675,0 days 00:00:42.258055,0.9921890475774797,0.4350630696986127,75,1.1026110732734251,0.0003128880672895296,27,0.00013099474182327016,COMPLETE
97,0.2943507662990637,2025-12-01 16:15:30.101314,2025-12-01 16:16:00.108974,0 days 00:00:30.007660,0.9915832300843163,0.4353733531881675,70,1.3251577713086322,0.0005076722587564065,27,0.00016835287574662065,COMPLETE
98,0.28504558613425807,2025-12-01 16:16:00.173429,2025-12-01 16:16:37.269441,0 days 00:00:37.096012,0.9926428390753373,0.40706630620188944,67,1.2185395219877166,0.00031421237334663027,30,0.00023818870448641874,COMPLETE
99,0.2951273851719434,2025-12-01 16:16:37.334009,2025-12-01 16:17:12.791375,0 days 00:00:35.457366,0.9919962705236162,0.47840085657846315,74,2.1015138621009584,0.00039811987366938575,29,0.00034102296148922864,COMPLETE
Best params: {'lr': 0.00018579356614638177, 'weight_decay': 0.00010558384297715928, 'dropout_rate': 0.34145869213527447, 'epochs': 118, 'patience': 30, 'cb_beta': 0.990110725960859, 'flag_boost': 1.768852367763028}
