number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_epochs,params_lr,params_patience,params_weight_decay,state
92,0.29070839409000615,2025-11-27 18:23:35.911486,2025-11-27 18:24:25.203765,0 days 00:00:49.292279,0.4165170426592501,87,0.00012014283888444596,29,0.0005849024213599091,COMPLETE
93,0.30959102470355915,2025-11-27 18:24:25.271007,2025-11-27 18:25:11.652085,0 days 00:00:46.381078,0.34564610017578545,82,3.024207725334333e-05,28,0.0005097754016540927,COMPLETE
94,0.28945917531478504,2025-11-27 18:25:11.719284,2025-11-27 18:26:07.121301,0 days 00:00:55.402017,0.3725636244791294,98,0.00016492520227268836,24,0.0003650369815723585,COMPLETE
95,0.2904884033623477,2025-11-27 18:26:07.184341,2025-11-27 18:27:01.044080,0 days 00:00:53.859739,0.39746338170192175,96,0.0001632690612047007,25,0.00018370922659176903,COMPLETE
96,0.29508934139220183,2025-11-27 18:27:01.108986,2025-11-27 18:27:59.284258,0 days 00:00:58.175272,0.37885889610489465,103,0.00022628961321535744,24,0.00037890893345032475,COMPLETE
97,0.2877864128301951,2025-11-27 18:27:59.348951,2025-11-27 18:28:54.756595,0 days 00:00:55.407644,0.4050396708246338,99,0.0001688859281505749,27,0.00035197662024246827,COMPLETE
98,0.29216778967991347,2025-11-27 18:28:54.822356,2025-11-27 18:29:55.744615,0 days 00:01:00.922259,0.3674348266720034,110,0.000167203294359236,30,7.283485395400872e-05,COMPLETE
99,0.28912385961569376,2025-11-27 18:29:55.806169,2025-11-27 18:30:51.838713,0 days 00:00:56.032544,0.3830229827406915,99,0.00011541739752157909,28,0.0003201055440221444,COMPLETE
100,0.2909364082924919,2025-11-27 18:30:51.901875,2025-11-27 18:31:48.461072,0 days 00:00:56.559197,0.40694052906509504,100,0.00011354161362411855,27,0.0003309690978885595,COMPLETE
101,0.29055248870008904,2025-11-27 18:31:48.526139,2025-11-27 18:32:49.277574,0 days 00:01:00.751435,0.429163996054045,107,9.370193556887614e-05,28,0.00042090629152949317,COMPLETE
